state,road,sample_ID,distance_cm,avg_outlier,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,sus_avg,sus_stdv,traffic_vol,traffic_class
Minnesota,Shepard Road,S10,10,average,0.003130,0.002420,0.002290,0.003150,0.003400,0.003560,0.003530,,,,,3.07E-03,5.17E-04,18000,high
Minnesota,Shepard Road,S50,50,average,0.001540,0.001430,0.001350,0.002030,0.001960,0.001880,0.001910,,,,,1.73E-03,2.79E-04,18000,high
Minnesota,Shepard Road,S150,150,average,0.000835,0.000921,0.000837,0.000828,0.000799,0.000771,,,,,,8.32E-04,5.06E-05,18000,high
Minnesota,Shepard Road,S250,250,average,0.001290,0.001030,0.001080,0.001220,0.000708,0.000770,0.000820,,,,,9.88E-04,2.27E-04,18000,high
Minnesota,Shepard Road,S100,100,average,0.000802,0.000957,0.000801,0.000977,0.000954,0.000941,,,,,,9.05E-04,8.13E-05,18000,high
Minnesota,Shepard Road,S700,700,average,0.000714,0.000662,0.000668,0.000525,0.000505,0.000492,,,,,,5.94E-04,9.76E-05,18000,high
Minnesota,Shepard Road,S760,760,average,0.000949,0.000992,0.001000,0.001140,0.000973,0.001120,0.000973,,,,,1.02E-03,7.64E-05,18000,high
Minnesota,Mississippi River Boulevard,M10,10,average,0.000868,0.000877,0.000882,0.001070,0.001030,0.000969,,,,,,9.49E-04,8.70E-05,3800,medium
Minnesota,Mississippi River Boulevard,M50,50,average,0.000670,0.000721,0.000722,0.001010,0.000991,0.000999,,,,,,8.52E-04,1.63E-04,3800,medium
Minnesota,Mississippi River Boulevard,M150,150,average,0.000784,0.000680,0.000624,0.000842,0.000803,0.000787,,,,,,7.53E-04,8.31E-05,3800,medium
Minnesota,Mississippi River Boulevard,M100,100,average,0.000710,0.000598,0.000663,0.000772,0.000743,0.000714,0.000725,,,,,7.04E-04,5.72E-05,3800,medium
Minnesota,Mississippi River Boulevard,M600,600,outlier,0.003740,0.003710,0.003410,,,,,,,,,3.62E-03,1.82E-04,3800,medium
Minnesota,Mississippi River Boulevard,M600,600,average,0.000486,0.000463,0.000452,0.000426,0.000424,0.000384,,,,,,4.39E-04,3.57E-05,3800,medium
Minnesota,Mississippi River Boulevard,M880,880,average,0.000972,0.000876,0.000872,0.000811,0.000727,0.000885,,,,,,8.57E-04,8.20E-05,3800,medium
Minnesota,Brimhall Street,B10,10,average,0.001540,0.001360,0.001830,0.000611,0.000473,0.000566,0.000552,,,,,9.90E-04,5.67E-04,,low
Minnesota,Brimhall Street,B50,50,average,0.000655,0.000665,0.000638,0.000479,0.000526,0.000508,,,,,,5.79E-04,8.31E-05,,low
Minnesota,Brimhall Street,B100,100,average,0.000324,0.000292,0.000287,0.000665,0.000530,0.000547,,,,,,4.41E-04,1.61E-04,,low
Minnesota,Brimhall Street,B100,100,outlier,0.001280,0.001270,0.001470,,,,,,,,,1.34E-03,1.13E-04,,low
Minnesota,Brimhall Street,B150,150,average,0.000574,0.000593,0.000601,0.000624,0.000616,0.000613,,,,,,6.04E-04,1.82E-05,,low
Minnesota,Brimhall Street,B250,250,average,0.000656,0.000701,0.000701,0.000685,0.000648,0.000558,0.000492,0.000457,0.000403,,,5.89E-04,1.14E-04,,low
Minnesota,Brimhall Street,B550,550,average,0.000494,0.000567,0.000538,0.000616,0.000553,0.000652,,,,,,5.70E-04,5.65E-05,,low
Minnesota,Brimhall Street,B600,600,average,0.000615,0.000622,0.000635,0.000423,0.000442,0.000423,,,,,,5.27E-04,1.07E-04,,low
Georgia,George Rice Drive,C10,10,average,0.000669,0.000644,0.000862,0.000856,0.000870,0.000279,0.000309,0.000283,0.000282,0.000361,0.000303,5.20E-04,2.60E-04,,low
Georgia,George Rice Drive,C50,50,average,0.000771,0.000750,0.000692,0.000334,0.000313,0.000316,0.000448,0.000428,0.000416,,,4.96E-04,1.88E-04,,low
Georgia,George Rice Drive,C100,100,average,0.000407,0.000408,0.000380,0.000385,0.000356,0.000321,0.000584,0.000438,0.000571,,,4.28E-04,9.12E-05,,low
Georgia,George Rice Drive,C150,150,outlier,0.000962,0.000942,0.000992,,,,,,,,,9.65E-04,2.52E-05,,low
Georgia,George Rice Drive,C150,150,average,0.000376,0.000354,0.000363,0.000284,0.000260,0.000241,,,,,,3.13E-04,5.83E-05,,low
Georgia,George Rice Drive,C300,300,average,0.000351,0.000321,0.000323,0.000350,0.000323,0.000324,0.000394,0.000363,0.000380,,,3.48E-04,2.72E-05,,low
Georgia,George Rice Drive,C600,600,average,0.000369,0.000406,0.000433,0.000349,0.000350,0.000366,0.000326,0.000349,0.000339,,,3.65E-04,3.40E-05,,low
Georgia,I-75 Walnut Avenue Offramp,I50,50,average,0.000694,0.000734,0.000720,0.000660,0.000710,0.000763,0.000791,,,,,7.25E-04,4.34E-05,5890,medium
Georgia,I-75 Walnut Avenue Offramp,I100,100,average,0.000803,0.000864,0.000774,0.000586,0.000507,0.000547,,,,,,6.80E-04,1.51E-04,5890,medium
Georgia,I-75 Walnut Avenue Offramp,I150,150,average,0.000323,0.000282,0.000458,0.000476,0.000427,0.000417,,,,,,3.97E-04,7.74E-05,5890,medium
Georgia,I-75 Walnut Avenue Offramp,I200,200,average,0.000346,0.000327,0.000331,0.000689,0.000559,0.000665,,,,,,4.86E-04,1.72E-04,5890,medium
Georgia,I-75 Walnut Avenue Offramp,I300,300,average,0.000285,0.000348,0.000279,0.000271,0.000254,0.000240,,,,,,2.80E-04,3.74E-05,5890,medium
Georgia,I-75 Walnut Avenue Offramp,I400,400,average,0.000401,0.000357,0.000379,0.000229,0.000217,0.000139,,,,,,2.87E-04,1.06E-04,5890,medium
Georgia,I-75 Walnut Avenue Offramp,I500,500,average,0.000882,0.000113,0.000128,,,,,,,,,3.74E-04,4.40E-04,5890,medium
